Français,Español,Box
rouge,rojo,0.0
fromage,queso,1.0
repas,comida,0.0
vert,verde,0.0
poisson,postre,0.0
pomme de terre,patata,0.0
pomme,manzana,0.0
cheval,caballo,0.0
lapin,conejo,0.0
chien,perro,0.0
chienne,perra,1.0
livre,libro,0.0
robe,vestido,0.0
casquette,gorra,0.0
paraplui,paraguas,0.0
bureau,escritorio,0.0
blanche,blanca,0.0
blanc,blanco,0.0
salopette,peto,0.0
janvier,enero,0.0
fevrier,febrero,0.0
mars,marzo,0.0
avril,abril,0.0
mai,mayo,0.0
june,junio,0.0
juillet,julio,0.0
aôut,agosto,0.0
septembre,septiembre,
octobre,octubre,0.0
novembre,noviembre,0.0
decembre,diciembre,0.0
